external_name,internal_name,category_label,match
Trendi Switch Single Switched Socket - Matt Black,"This Single Socket features a Matt Black Finish and is part of the full Trendi Switch range. Operated by a long designer chrome vertical Rocker Switch, it not only looks good, but is easy to locate and operate and like all products in the Trendi Switch range the face plate is screwless and detachable allowing for easy decorating .

Easy to install (simply replace old socket, no additional wiring required)
Fireproof ABS plastic module casing and faceplate
Easy clean product, allowing you to keep it looking as good as new
This product includes screws and instructions, ready to install from the box
Faceplate can be easily removed for easy decorating without disconnecting power",Electrical Deals,1
Trendi Switch Double Switched Socket - Matt Black,"This Double Socket features a Matt Black Finish and is part of the full Trendi Switch range. Operated by a long designer chrome vertical Rocker Switch, it not only looks good, but is easy to locate and operate and like all products in the Trendi Switch range the face plate is screwless and detachable allowing for easy decorating .

Easy to install (simply replace old socket, no additional wiring required)
Fireproof ABS plastic module casing and faceplate
Easy clean product, allowing you to keep it looking as good as new
This product includes screws and instructions, ready to install from the box
Faceplate can be easily removed for easy decorating without disconnecting power",Electrical Deals,1
Stonebreaker Safety Pack Of 6 Cotton Filters,"Stonebreaker Safety Pack Of 6 Cotton Filters

Replacement filters for reuseable protective masks
Single-use filters use layers of non wove melt-blown fabric
Filter out 995% of particles and particular matter as small as 2.5 micrometers
Pack includes 6 filters (PM2.5)",Tools Clearance,1
Energizer MAX Alkaline AAA Batteries - 12 Pack,"Long-lasting power and innovation is what the Energizer MAX family is all about. Count on Energizer MAX batteries to deliver long-lasting power to your everyday devices They also hold their power for up to 10 years while in storage, so you have power when you need it most. Plus, Energizer MAX AAA batteries are designed to protect your devices from leakage of fully used batteries for up to 2 years. So, when it comes to toys, torches, wireless mice, and other valuable devices you can feel confident knowing you have the long-lasting energy and protection you expect from Energizer.* Of fully used batteries in devices up to 2 years

12-pack of Energizer MAX Alkaline AAA batteries
Protects* your devices from damaging leaks
Non-stop energy for your non-stop family's must-have devices- think toys, torches, wireless mice, remotes and more
Holds power up to 10 years in storage so you're never left powerless
From the makers of the world's longest-lasting AA battery: Energizer Ultimate Lithium",Electrical & Heating Sale,1
Energizer MAX Alkaline AA Batteries - 12 Pack,"Long-lasting power and innovation is what the Energizer MAX family is all about. Count on Energizer MAX batteries to deliver long-lasting power to your everyday devices They also hold their power for up to 10 years while in storage, so you have power when you need it most. Plus, Energizer MAX AA batteries are designed to protect your devices from leakage of fully used batteries for up to 2 years. So, when it comes to toys, torches, wireless mice, and other valuable devices you can feel confident knowing you have the long-lasting energy and protection you expect from Energizer.* Of fully used batteries in devices up to 2 years

12-pack of Energizer MAX Alkaline AA batteries
No leaks guaranteed; protects* your devices from damaging leaks
Non-stop energy for your non-stop family's must-have devices think toys, torches, wireless mice, remotes, and more
Holds power up to 10 years in storage so you're never left powerless
From the makers of the world's longest-lasting AA battery: Energizer Ultimate Lithium",Electrical & Heating Sale,1
Trendi Switch Single Switched Socket - Matt Black,"This Single Socket features a Matt Black Finish and is part of the full Trendi Switch range. Operated by a long designer chrome vertical Rocker Switch, it not only looks good, but is easy to locate and operate and like all products in the Trendi Switch range the face plate is screwless and detachable allowing for easy decorating .

Easy to install (simply replace old socket, no additional wiring required)
Fireproof ABS plastic module casing and faceplate
Easy clean product, allowing you to keep it looking as good as new
This product includes screws and instructions, ready to install from the box
Faceplate can be easily removed for easy decorating without disconnecting power",Electrical & Heating Sale,1
Trendi Switch Double Switched Socket - Matt Black,"This Double Socket features a Matt Black Finish and is part of the full Trendi Switch range. Operated by a long designer chrome vertical Rocker Switch, it not only looks good, but is easy to locate and operate and like all products in the Trendi Switch range the face plate is screwless and detachable allowing for easy decorating .

Easy to install (simply replace old socket, no additional wiring required)
Fireproof ABS plastic module casing and faceplate
Easy clean product, allowing you to keep it looking as good as new
This product includes screws and instructions, ready to install from the box
Faceplate can be easily removed for easy decorating without disconnecting power",Electrical & Heating Sale,1
Energizer MAX Alkaline AAA Batteries - 12 Pack,"Long-lasting power and innovation is what the Energizer MAX family is all about. Count on Energizer MAX batteries to deliver long-lasting power to your everyday devices They also hold their power for up to 10 years while in storage, so you have power when you need it most. Plus, Energizer MAX AAA batteries are designed to protect your devices from leakage of fully used batteries for up to 2 years. So, when it comes to toys, torches, wireless mice, and other valuable devices you can feel confident knowing you have the long-lasting energy and protection you expect from Energizer.* Of fully used batteries in devices up to 2 years

12-pack of Energizer MAX Alkaline AAA batteries
Protects* your devices from damaging leaks
Non-stop energy for your non-stop family's must-have devices- think toys, torches, wireless mice, remotes and more
Holds power up to 10 years in storage so you're never left powerless
From the makers of the world's longest-lasting AA battery: Energizer Ultimate Lithium",Electrical & Heating Sale,1
Energizer MAX Alkaline AA Batteries - 12 Pack,"Long-lasting power and innovation is what the Energizer MAX family is all about. Count on Energizer MAX batteries to deliver long-lasting power to your everyday devices They also hold their power for up to 10 years while in storage, so you have power when you need it most. Plus, Energizer MAX AA batteries are designed to protect your devices from leakage of fully used batteries for up to 2 years. So, when it comes to toys, torches, wireless mice, and other valuable devices you can feel confident knowing you have the long-lasting energy and protection you expect from Energizer.* Of fully used batteries in devices up to 2 years

12-pack of Energizer MAX Alkaline AA batteries
No leaks guaranteed; protects* your devices from damaging leaks
Non-stop energy for your non-stop family's must-have devices think toys, torches, wireless mice, remotes, and more
Holds power up to 10 years in storage so you're never left powerless
From the makers of the world's longest-lasting AA battery: Energizer Ultimate Lithium",Electrical & Heating Sale,1
Trendi Switch Single Switched Socket - Matt Black,"This Single Socket features a Matt Black Finish and is part of the full Trendi Switch range. Operated by a long designer chrome vertical Rocker Switch, it not only looks good, but is easy to locate and operate and like all products in the Trendi Switch range the face plate is screwless and detachable allowing for easy decorating .

Easy to install (simply replace old socket, no additional wiring required)
Fireproof ABS plastic module casing and faceplate
Easy clean product, allowing you to keep it looking as good as new
This product includes screws and instructions, ready to install from the box
Faceplate can be easily removed for easy decorating without disconnecting power",Electrical & Heating Sale,1
Trendi Switch Double Switched Socket - Matt Black,"This Double Socket features a Matt Black Finish and is part of the full Trendi Switch range. Operated by a long designer chrome vertical Rocker Switch, it not only looks good, but is easy to locate and operate and like all products in the Trendi Switch range the face plate is screwless and detachable allowing for easy decorating .

Easy to install (simply replace old socket, no additional wiring required)
Fireproof ABS plastic module casing and faceplate
Easy clean product, allowing you to keep it looking as good as new
This product includes screws and instructions, ready to install from the box
Faceplate can be easily removed for easy decorating without disconnecting power",Electrical & Heating Sale,1
Open Curl Window Casement Stay - Antique Black Iron - 250mm,"This casement stay, featuring a decorative curl end, allows windows to be opened and closed to various degrees securely and can be fitted on both left and right hand side of the window.

Traditional Victorian design
For internal use
Solid iron construction",Electrical Clearance,1
Open Curl Window Casement Stay - Antique Black,"This casement stay, featuring a decorative curl end, allows windows to be opened and closed to various degrees securely and can be fitted on both left and right hand side of the window.

Fixings, hook and mortise keep plates included
Solid brass construction
Hand finished",Electrical Clearance,1
Screw Pattern Sash Window Fastener - Satin Chrome - 55mm,"This screw pattern sash fastener is a classic method of fastening and locking sliding sash windows and is ideal for both domestic and trade usage.

Added security for you windows
Fixings included",Electrical Clearance,1
Victorian Window Casement Stay - Satin Chrome - 250mm,"This traditional style casement stay allows windows to be opened and closed to various degrees securely and can be fitted on both left and right hand side of the window.

Traditional Victorian design
For internal use
Solid brass construction",Electrical Clearance,1
Fitch Sash Window Fastener - Satin Chrome - 65mm,"This fitch sash fastener is a traditional stlye of sash window fastener that adds a level of security to your window.

Designed to pull, lift and align the meeting rails together
Added security for you windows
Fixings included",Electrical Clearance,1
Sash Window Finger Lift - Satin Chrome - 50 x 35mm,"This simple but stylish sash finger lift is suitable for both domestic and trade use and is easy to install onto your window.

Satin chrome finish
Easy to install
Fixings included",Electrical Clearance,1
Spear & Jackson Razorsharp Bypass Secateurs,"Spear & Jackson razorsharp bypass secateurs for all your pruning needs.

Bypass action minimises stem bruising on green stems
SK5 carbon steel upper blade for rust resistance
PTFE coated upper blade for rust resistance
Ergonomic handles with soft feel grip for increased comfort
Ambidextrous locking catch",Garden Tools Deals,1
Kärcher K3 Power Control Pressure Washer,"Make light work of the toughest tasks with the Kärcher K3 power control. This machine allows you to switch between surfaces with the accessories, and LCD display trigger gun. From rinsing away everyday mud from delicate paint work, to blasting off stubborn dirt from the patio, this machine can tackle any task, fast.Effortlessly apply detergent to efficiently increase your cleaning performance by using the integrated detergent tank in the base of the machine. Simply change the mode of your pressure washer with a click and twist of the vario lance.When you are finished with your machine neatly store away the cable, 7m high pressure hose, and accessories on the machine with the onboard storage. Easily transport your machine back into storage with the telescopic handle and two smooth running wheels.Always have Kärcher on hand with the Kärcher app, it contains everything you need from setting up your machine to step by step application guides. Tailor the app to your machine and accessories for the perfect cleaning result.

Kärcher always on hand - Our specifically designed app for smartphones is full of useful hints and tips, from machine set-up to helping you get the job done
Twist to the perfect power setting - The full Control Vario Lance gives you complete control - just twist and click to select the optimum power for the job
Easily switch between surfaces - A full control vario lance and dirt blaster lance allow you to select the right pressure for cleaning any surface
Effortlessly apply Detergent - Easily apply detergent as you work  to any surface with the built-in detergent suction tube
Get to work instantly - Get started with minimum effort the quick connect system instantly links the high-pressure hose to the machine and trigger gun",Garden Tools Deals,1
Spear & Jackson Razorsharp Telescopic Tree Pruner,"Spear & Jackson advantage telescopic tree pruner with SK5 carbon steel blade for lasting sharpness.

Built in saw will cut larger branches
Variable length telescopic handle extends up to 2340mm (92"") to reach the highest branches
Lopper Mechanism cuts branches up to 300mm
Pull cord action",Garden Tools Deals,1
Spear & Jackson Razorsharp Medium Anvil Secateurs,"Spear & Jackson razorsharp anvil secateurs for all your pruning needs.

Anvil action minimises stem twisting on woody branches
SK5 carbon steel upper blade for rust resistance
PTFE coated upper blade for rust resistance
Ergonomic handles with soft feel grip for increased comfort
Locking catch",Garden Tools Deals,1
Bosch Rotak 34-13 Rotary Lawn Mower,"Suitable spare blade


The Bosch 34-13 corded lawnmower is lightweight and convenient for smaller lawns. Its 1300 watt power drive motor enables you to easily cut long grass and innovative grass combs ensure for neat and tidy results. Its compact design and folding handles allow for easy control and storage.

Grass combs enable cutting close to the edge of walls, flowerbeds and paths for a neat finish.
ErgoFlex handles give maximum comfort and control over the lawnmower
Grass box collects up to 40 l and aids easy storage",Garden Tools Deals,1
Kärcher T 5 Racer Patio Cleaner,"The T 5 with twin-jet rotating arm is capable of removing dirt over large areas for fast and efficient cleaning of large outside areas. The surface cleaner can be adjusted so that the nozzle is positioned at the ideal distance from the surface and the hood reliably protects you and your surroundings from spray water. The hovercraft effect makes manoeuvring simpler than ever. Even vertical surfaces, such as garage doors, can be cleaned efficiently thanks to the ergonomic handle.

The T 5 surface cleaner can be adjusted so the nozzle is positioned at the ideal distance from the surface, depending on the material
The T 5 can clean in around half the time needed by a spray lance
The hood protects you and your surroundings from spray water and the hovercraft effect makes manoeuvring simple and easy
Thanks to the ergonomic handle even vertical surfaces such as garage doors can be cleaned efficiently",Garden Tools Deals,1
Powerbase 2800W Quiet Shredder,"The Powerbase 2800W silent shredder, with a high torque turbo drive motor. This motor applies additional torque if needed to help to crush woody cuttings. The shredder reduces the volume of tough garden waste for composting or easy disposal. It is ideal for all green, soft and woody garden waste such as hedge trimmings. The mulch that the shredder produces can be used for composting or if spread on borders & plant pots, will reduce weed growth, return nutrients to the soil and help to keep moisture in during times of drought.We are aware that when shredding, the chances are that you will be away from the house, therefore the large wheels and low weight make it extremely easy to move around the garden.Safety is front of mind with the included safety plunger. The shredder has a convenient on board storage location for this plunger.Large 60L integrated collection box with safety switch, the collection box can not be removed whilst the machine is being operated. Reverse function to help clear any blockages with the control buttons designed to be used even when wearing safety gloves.This Powerbase shredder includes a 3 year guarantee.

Quiet operation - crushing action rather than cutting action creates perfect mulch quietly
Large 42mm cutting diameter
Easy storage - shredder can be stored in collection basket for reduced storage space
Robust metal frame and wheels for rigidity
Reverse function to help to clear any blockages",Garden Tools Deals,1
Spear & Jackson Razorsharp Fixed Blade Pruning Saw - 22.5cm,"Spear & Jackson Razorsharp Fixed Blade Pruning Saw for all your pruning needs.

Cuts branches up to 90mm
Ultra sharp precision ground teeth
225mm Carbon steel blade for durability
Non slip ergonomic soft feel handle
Scabbard with belt hook for safe carrying and storage",Garden Tools Deals,1
Pine Wood Trestle Leg,"This trestle leg is ideal for supporting pasting and temporary decorating tables.

Solid pine wood, PEFC-certified
Unvarnished natural wood
Strong and durable
Ready to use
Foldable",Pasting Tables,1
Hardboard Top Folding Pasting Table,"This standard pasting table if perfect for your decorating needs, and conveniently folds up too for easy storage.",Pasting Tables,1
Solar Company Solar Bug Light - Ladybird or Bumble Bee,"Includes 1 light only - unfortunately when purchasing online you are unable to choose which design you would like


Solar Bug Lights. Perfect for decorating trees, fences, gazebos and patio. 4 warm white LEDs create a beautiful firefly effect.

4 warm white LEDs create a beautiful firefly effect
Perfect for decorating trees, fences, gazebos and patio
Automatically illuminates at night
Charges in direct sunlight",Lighting Clearance,1
House Beautiful Firefly Solar Powered Caged Lantern,"*You will receive one randomly selected product from this assortment*


This solar powered caged lantern, with firefly effect warm white LEDs will cast a beautiful warm glow over your patio, flower pots or borders.  Hang in groups for a magical effect.

Solar powered caged lantern
4 x warm white LEDs create a magical firefly effect
Can be used as a table top or hanging lantern
Automatically illuminates at night.
Charges in direct sunlight",Lighting Clearance,1
Solar Irridescent Ball Garden Light,"Bring a sense of fun to your garden with this Solar Irridescent Ball Light, guaranteed to add character to any garden or outdoor space.

Waterproof Durable design
Adds character and colour to your garden.
Automatically illuminates at night
Charges in direct sunlight
No mains wiring required",Lighting Clearance,1
Solar Lightbulb Outdoor Light,"Bring the indoors outside with this gorgeous feature solar lightbulb. The 4 warm white LEDs inside give a gentle glow that creates a beautiful firefly effect. It would make a striking feature for your garden. As it is solar-powered, you have the freedom to place it wherever you like. Hang it from a tree or fence with crocodile clips for a stunning visual effect. This is one bright idea for your outdoor space.

4 warm white LEDs
Perfect for decorating trees, fences and gazebos
Charges in direct sunlight
Automatically illuminates at night",Lighting Clearance,1
10 Solar Diamond String Lights,"Ideal for decorating garden features, shrubs, trees, trellis, parasols and doorways.

Automatically illuminate at night
Charges in direct sunlight
Outdoor use",Lighting Clearance,1
10 Solar Flame String Lights,"This set of 10 solar powered string lights is ideal for decorating garden features, shrubs, trees, trellis, parasols and doorways. The flame effect of these solar lights will feel as if your garden is illuminated with torch light.

Automatically illuminate at night
Charges in direct sunlight
Outdoor use",Lighting Clearance,1
Victoria 6w Antique Brass LED Bathroom Wall Light,"A simple, elegant bathroom wall light, with a round opal glass ball mounted on an antique brass fitting. IP44 is splashproof which is suitable for use in bathroom zone 2.

400 Lumens
Integrated LEDs
White Opal glass shade
3000K Warm White
IP44 Rated (Splash proof)",Lighting Clearance,1
Ana Decorative Bathroom Light,"This stylish contemporary bathroom wall light features a polished chrome finish with a double glass shade with frosted glass inner that will create a charming light effect on any wall in your home. IP44 is splashproof which is suitable for use in bathroom zones 2, kitchens and other rooms around the house.

Polished Chrome finish
LED G9 bulb included
Bulb is 3000K Warm White
IP44 Rated (Splash proof)
Double glass shade",Lighting Clearance,1
Ariel 5w Bathroom Bubble Wall Light,"Update your bathroom lighting with our bubble wall light. This contemporary design fitting is IP44 rated and designed to dispel a bright light around your bathroom, the combination of clear bubble acrylic and polished chrome helps make it a perfect choice for modern styling.

400 lumens
Integrated LEDs
Bubble effect acrylic shade
3000K warm white
IP44 rated (splash proof)",Lighting Clearance,1
Willow 2 x 5w Bubble Bathroom Light,"Update your bathroom lighting with our slimline 2 bar bubble wall light. This contemporary design fitting is IP44 rated and designed to dispel a bright light around your bathroom, the combination of clear bubble acrylic and polished chrome helps make it a perfect choice for a modern bathroom.

700 Lumens
Integrated LEDs
3000K Warm White
IP44 Rated (Splash proof)
Bubble effect Acrylic shade",Lighting Clearance,1
10 Solar Lightbulb String Lights,"Ideal for decorating garden features, shrubs, trees, trellis, parasols and doorways.

For outdoor use
Automatically illuminate at night
Charges in direct sunlight",Lighting Clearance,1
Bartoline Traditional Powder Sugar Soap - 500g,"A powerful and effective cleaner, used by the professional decorator for many years, for preparing surfaces prior to painting.

Makes up to 10 Litres.
Can also be used as a general household cleaner.",Wallpaper Strippers,1
Wagner Steamforce Plus Wallpaper Stripper,"Use the WAGNER Steamforce for effortless removal of a variety of wallpaper types with no chemical additives. The twin, walled rib design ensures that the containers external temperature remains low making it safer to use than traditional steamers. With a long steaming time, and even distribution of steam on the wall via the large steam plate, you can work quickly and efficiently to complete your projects. Included with the plus are additional accessories to make the removal process of removal in tight areas even easier with the small steam plate and scraper.

4L Tank
12 Minute Steam Up Time
70 Minutes Continuous Use Time
3.7m Cool Touch Hose
Reduced Surface Temperature for Increased Safety",Wallpaper Strippers,1
Wagner Steamforce Wallpaper Stripper,"Use the WAGNER Steamforce for effortless removal of a variety of wallpaper types with no chemical additives. The twin, walled rib design ensures that the containers external temperature remains low making it safer to use than traditional steamers. With a long steaming time, and even distribution of steam on the wall via the large steam plate, you can work quickly and efficiently to complete your projects.

4L Tank
12 Minute Steam Up Time
70 Minutes Continuous Use Time
3.7m Cool Touch Hose
Reduced Surface Temperature for Increased Safety",Wallpaper Strippers,1
BLACK+DECKER 2400W Corded Wallpaper Stripper (KX3300T-GB),"Designed for removing wallpaper, woodchip paper, lining paper, vinyl, standard, blown coated paper, washable paper, embossed, velvet and hand printed wallpaper. Can be used on solid plaster walls, plasterboard and dry walls.This wallpaper stripper is ideal for DIY wallpaper removal. The large steam plate allows you to steam a larger surface area, enabling you to get the job done faster and efficiently. The unit features an easy fill sprout with a convenient water indicator helping you to monitor levels as you tackle your project.Comes with wallpaper steam pad.

Perfect for removing all types of wallpaper within the home
Large steam plate covers a large area and saves time
Convenient water level indicator
Easy fill spout can be filled with water direct from the tap
Safety release valves so that the unit will never overheat",Wallpaper Strippers,1
Bartoline All Purpose Wipes - 80XL,"Bartoline All Purpose Wipes are perfect for removing even the most stubborn dirt stains from your hands, or clean your tools with them at the end of a hard day's work.

The handy tub dispenser means no fuss - just quick and easy to use.
Kind to hands with added Aloe Vera. Contains 80 wipes.",Wallpaper Strippers,1
Harris Seriously Good 4in Super Stripper,"A range of tools that have been specifically designed and engineered to perform when preparing a surface prior to painting.

For stripping tiles, wallpaper and vinyl flooring.
Extra sharp razor blades for increased performance.
Easy to clean and reuse.",Wallpaper Strippers,1
Solvite All Purpose Wallpaper Adhesive - 5 Rolls,"A fast mixing (mixes in 20 secs) and smooth formula makes preparing and applying the paste easy whilst added fungicides inhibits mould growth.

Gives reliable and long-lasting results when decorating.
Anti-mould: multi purpose adhesive contains a fungicide to prevent mould growth / Adhesive is naturally based for a safe environment at home.
Perfect for: hanging all types of wallcoverings, including heavy embossed, washables, vinyls and blown vinyls.
Quick and easy: glue mixes in 20 seconds and is ready to use in under 2 minutes / Extra smooth consistency for an easy application.",Wallpaper Paste,1
Solvite All Purpose Wallpaper Adhesive - 10 Rolls,"A fast mixing (mixes in 20 secs) and smooth formula makes preparing and applying the paste easy whilst added fungicides inhibits mould growth.

Gives reliable and long-lasting results when decorating.
Anti-mould: multi purpose adhesive contains a fungicide to prevent mould growth / Adhesive is naturally based for a safe environment at home.
Perfect for: hanging all types of wallcoverings, including heavy embossed, washables, vinyls and blown vinyls.
Quick and easy: glue mixes in 20 seconds and is ready to use in under 2 minutes / Extra smooth consistency for an easy application.",Wallpaper Paste,1
Solvite Overlap & Border Adhesive - 56g,"Complete wall hanging projects with ease with the Solvite Overlap & Border Adhesive.
Make decorating simple and quick with the brilliant Solvite Overlap & Border Adhesive. Extremely practical adhesive that can easily paste wallpaper quickly and effectively. Solvite Overlap & Border Adhesive is an extra strong adhesive for sticking all wall covering quick repairs, including vinyl to vinyl wall coverings. It is ideal for hanging decorative borders and overlapping seams. The smooth, easy to spread formula ensures effortless application and contains fungicide that prevent mould from growing, ensuring long lasting results.
Benefits at a glance 
â€¢ Strength
â€¢ Smooth formula
â€¢ Sticks vinyl to vinyl
About Solvite
Solvite puts the strength, ease and â€˜know howâ€™ back into wallpapering. Since our inception in 1964, Solvite has become the wallpaper adhesive of choice for millions of professional and DIY users to obtain the perfect wallpapering finish. Known for manufacturing the highest quality wallpaper adhesives, we use the best materials to ensure products are easy to mix (flake/powder) and simple to use (ready to roll or ready to use), affording the time-pressed consumer quick results to be proud of. With our range of adhesives, you are guaranteed a long-lasting, reliable wallpapering result that transforms any home into a haven. Solvite has a range of adhesives to suit every wallpaper type, plus a range of preparation products that provide a good foundation for a superior finish.

Extra Strong - Formula ensures long lasting results for overlapping vinyl to vinyl wallpaper and borders
Smooth and easy spread Formula - Ideal for quick wallpaper repairs and overlapping seams
Reliable - Quick way to complete your DIY jobs, not only is it highly effective it is fast acting
Easy to use - The border glue is easy to use for a range of every day DIY jobs such as border adhesion, quick wallpaper repairs and overlapping seams.",Wallpaper Paste,1
Solvite Paste The Wall Wallpaper Adhesive - 10 Rolls,Solvite Paste The Wall Adhesive is a super smooth wallpaper adhesive to apply directly in the wall.,Wallpaper Paste,1
Solvite All Purpose Wallpaper Adhesive - 10 Roll Ready Mix Bucket,"Solvite All Purpose Wallpaper Adhesive is ideal for most types of paper and rooms. It mixes quickly, giving a smooth and easy to use paste that really sticks. It’s the preferred wallpaper paste of most professional decorators and ensures a perfect finish. Solvite Ready to Roll All Purpose Adhesive has all the strength of the original powdered product, but comes ready mixed for convenience and has great wet adjustability.

Extra strong, smooth, lump-free formula.
Fast, direct roller/brush application to wallpaper.",Wallpaper Paste,1
Solvite Paste The Wall Wallpaper Adhesive - 5 Rolls,Solvite Paint The Wall Flake Adhesive is a super smooth wallpaper adhesive to apply directly in the wall.,Wallpaper Paste,1
Solvite Pink Paste The Wall Wallpaper Paste - 3 Roll Bucket,"A smooth, non-drip wallpaper paste that rolls on pink but dries clear. Ready-to-use and easy to apply.

Rolls on pink, dries clear.
Pink colour indicates exactly where you have rolled.
Ready to roll.
Paste The Wall (for paste-the-wall wallcoverings).
No staining guaranteed.",Wallpaper Paste,1
Solvite All Purpose Wallpaper Adhesive - 5 Roll Ready Mix Bucket,"Solvite All Purpose Wallpaper Adhesive is ideal for most types of paper and rooms. It mixes quickly, giving a smooth and easy to use paste that really sticks. It’s the preferred wallpaper paste of most professional decorators and ensures a perfect finish. Solvite Ready to Roll All Purpose Adhesive has all the strength of the original powdered product, but comes ready mixed for convenience and has great wet adjustability.

Extra strong, smooth, lump-free formula.
Fast, direct roller/brush application to wallpaper.",Wallpaper Paste,1
