id,product,price,category,link,image,description
14,"Sharp sand, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/sharp-sand-bulk-bag/35691_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-grano-dust-bulk-bag~5030349002736_36c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcA coarse sand used in screeding, block and slab laying applications and also for concrete mixingManufactured to BS EN 12620Mix with cement and water to make bricklaying mortarPlease note that product supplied comes from a natural source and may vary in colour, size and texture"
15,"10mm Limestone Chippings, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/10mm-limestone-chippings-bulk-bag/35694_BQ.prd,https://media.diy.com/is/image/Kingfisher/sharp-sand-bulk-bag~5030349002644_02c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcUse to create finer concrete mixesExcellent drainage propertiesPlease note that product supplied comes from a natural source and may vary in colour, size and textureIdeal for pathways and drivesNot for decorative use"
16,"Tarmac 10mm Gravel, Large Bag",£3.92,Aggregates & sand,https://www.diy.com/departments/tarmac-10mm-gravel-large-bag/5030349012353_BQ.prd,https://media.diy.com/is/image/Kingfisher/10mm-limestone-chippings-bulk-bag~5030349002682_03c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcUse to create finer concrete mixes and bed pipesNot for decorative usePlease note that product supplied comes from a natural source and may vary in colour, size and texture"
17,Tarmac Sand 20kg Bag,£5.50,Aggregates & sand,https://www.diy.com/departments/tarmac-sand-20kg-bag/5030349012124_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-10mm-gravel-large-bag~5030349012353_01c_BQ?wid=284&hei=284,Features and benefitsPH balancedHelps water drain from growing mediaWaterproof packaging can be stored outside
18,"Tarmac Building sand, Large Bag",£2.98,Aggregates & sand,https://www.diy.com/departments/tarmac-building-sand-large-bag/5030349012407_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-sand-20kg-bag~5030349012124_08c_BQ?wid=284&hei=284,Features and benefitsMix with cement and water to make bricklaying mortarFor use in bricklaying and internal renderingConsistent colour and quality
19,"Tarmac Plastering sand, Large Bag",£4.75,Aggregates & sand,https://www.diy.com/departments/tarmac-plastering-sand-large-bag/5030349012438_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-building-sand-large-bag~5030349012407_01c_BQ?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcPlease note that product supplied comes from a natural source and may vary in colour, size and texture"
20,"Tarmac 20mm Limestone Chippings, Large Bag",£6.85,Aggregates & sand,https://www.diy.com/departments/tarmac-20mm-limestone-chippings-large-bag/5030349012384_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-plastering-sand-large-bag~5030349012438_01c_bq?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcFor use in concreting applicationsUse to create high strength concrete mixesPlease note that product supplied comes from a natural source and may vary in colour, size and textureExcellent drainage propertiesIdeal for pathways and drivesNot for decorative use"
21,"Tarmac 10mm Limestone Chippings, Large Bag",£6.85,Aggregates & sand,https://www.diy.com/departments/tarmac-10mm-limestone-chippings-large-bag/5030349012377_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-20mm-limestone-chippings-large-bag~5030349012384_01c_bq?wid=284&hei=284,"This limestone is suitable for concreting applications to give finer concrete mixes. excellent drainage properties. ideal for pathways & drives..Not for decorative useFeatures and benefitsCoverage will be dependent on depth laid, ground conditions etcNot for decorative usePlease note that product supplied comes from a natural source and may vary in colour, size and texture"
22,Tarmac Weed Free Paving sand 20kg Bag,£13.23,Aggregates & sand,https://www.diy.com/departments/tarmac-weed-free-paving-sand-20kg-bag/1104456_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-10mm-limestone-chippings-large-bag~5030349012377_01c_bq?wid=284&hei=284,"Features and benefitsThis paving sand from Tarmac is specially formulated to prevent weed growth in the joints between paving slabs & blocks. It is suitable for use with any paving project and is an organic method of inhibiting unwanted weed growth.Best applied during dry, sunny conditionsInhibits growth of weeds, algae & lichensThe formulation ensures longevityMaximum joint width of 5mmSets to a firm finish"
23,"Plastering sand, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/plastering-sand-bulk-bag/35697_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-weed-free-paving-sand-20kg-bag~5030349011769_08c_bq?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcPlease note that product supplied comes from a natural source and may vary in colour, size and texture"
24,"Tarmac Red Building sand, Large Bag",£2.87,Aggregates & sand,https://www.diy.com/departments/tarmac-red-building-sand-large-bag/5030349012841_BQ.prd,https://media.diy.com/is/image/Kingfisher/plastering-sand-bulk-bag~5030349002712_02c?wid=284&hei=284,"This red building sand is ideal for use in bricklaying and pointing mortars.Features and benefitsPlease note that product supplied comes from a natural source and may vary in colour, size and texture"
25,Hyundai Silent 230V 24L Corded Compressor HY7524,£150,Air compressors,https://www.diy.com/departments/hyundai-silent-230v-24l-corded-compressor-hy7524/5056275722722_BQ.prd,https://media.diy.com/is/image/Kingfisher/hyundai-silent-230v-24l-corded-compressor-hy7524~5056275722722_01c_bq?wid=284&hei=284,"The HY7524 is a powerful yet compact 750w direct-drive oil-free low noise air compressor from Hyundai. Designed for DIY and trade applications the HY7524 silenced oil-free air compressor is ideal for spray-painting, blowing away dirt and dust, nailing, inflating tyres or operating air tools.Guarantee - 2 yearsComes with HY7524 electric air compressor, user manual, warranty cardFeatures and benefitsWeighing only 22kg the HY7524 whisper compressor is lighter than your conventional piston type air compressor and is completely oil-free, so there is no risk of oil contamination in the air supply.Low noise air compressorOil free - maintenance free and no oil contaminationHyundai 750w / 230v direct drive electric motor with UK 3-pin 13amp plug.24 litre tank capacity provides an air displacement of 5.2CFM / 150 litres per minute and a maximum pressure of 100psi / 7barPressure regulator with twin pressure gauges and twin quick release ‘Euro’ type air connectors and water / condensation trap. Includes automatic cut out switch, safety valve and pressure regulator."
26,Aggregate Industries Dense Concrete Block (L)440mm (W)100mm,£2.60,Bricks & blocks,https://www.diy.com/departments/aggregate-industries-dense-concrete-block-l-440mm-w-100mm/35854_BQ.prd,https://media.diy.com/is/image/Kingfisher/aggregate-industries-dense-concrete-block-l-440mm-w-100mm~5015111333362_01c_bq?wid=284&hei=284,"For your construction needs, get your hands on this 10x4.4cm concrete block, for a range of both internal and external usesFeatures and benefitsDense block"
27,Toplite Aerated concrete Block (L)440mm (W)100mm,£2.45,Bricks & blocks,https://www.diy.com/departments/toplite-aerated-concrete-block-l-440mm-w-100mm/645667_BQ.prd,https://media.diy.com/is/image/Kingfisher/aggregate-industries-dense-concrete-block-l-440mm-w-100mm~5015111333362_01c_bq?wid=284&hei=284,"BBA approvedFrost protectedMeets CDM regulations and recognised by the NHBCFeatures and benefitsFrost resistantLightweight, robust & versatile"
28,Wienerberger Tuscan Rough Red Perforated Facing brick (L)215mm (W)102.5mm (H)65mm,£0.97,Bricks & blocks,https://www.diy.com/departments/wienerberger-tuscan-rough-red-perforated-facing-brick-l-215mm-w-102-5mm-h-65mm/54157_BQ.prd,https://media.diy.com/is/image/Kingfisher/toplite-aerated-concrete-block-l-440mm-w-100mm~5030349011424_03c?wid=284&hei=284,This high quality facing brick is suitable for all applications.Not frost protectedGuarantee - StatutoryFeatures and benefitsThis rough red facing brick will add a strong foundation to your home and is great for a range of projects.Use as facing bricksUp to 60 per m²
29,Common brick (L)215mm (W)103mm (H)65mm,£0.72,Bricks & blocks,https://www.diy.com/departments/common-brick-l-215mm-w-103mm-h-65mm/54119_BQ.prd,https://media.diy.com/is/image/Kingfisher/wienerberger-tuscan-rough-red-perforated-facing-brick-l-215mm-w-102-5mm-h-65mm~5055013400359_01c_bq?wid=284&hei=284,This Concrete common brickFeatures and benefitsThese high quality common bricks are suitable for all applications.Use in construction above and below DPC levelUp to 60 per m²
30,Wienerberger Sandown Smooth Red Perforated Class B engineering brick (L)215mm (W)102.5mm (H)65mm,£0.91,Bricks & blocks,https://www.diy.com/departments/wienerberger-sandown-smooth-red-perforated-class-b-engineering-brick-l-215mm-w-102-5mm-h-65mm/5055013404876_BQ.prd,https://media.diy.com/is/image/Kingfisher/common-brick-l-215mm-w-103mm-h-65mm~5030349000916_21c?wid=284&hei=284,"This engineering brick is best used where strength and/or durability is essential.Not frost protectedGuarantee - StatutoryFeatures and benefitsThis smooth red, class B engineering brick will add a strong foundation to your home and is great for a range of projects.High compressive strength and densityFrost Resistance Category: F2Possesses low water absorption properties"
31,LBC Heather Rough Red Frogged Facing brick (L)215mm (W)102.5mm (H)65mm,£1.27,Bricks & blocks,https://www.diy.com/departments/lbc-heather-rough-red-frogged-facing-brick-l-215mm-w-102-5mm-h-65mm/179567_BQ.prd,https://media.diy.com/is/image/Kingfisher/wienerberger-sandown-smooth-red-perforated-class-b-engineering-brick-l-215mm-w-102-5mm-h-65mm~5055013404876_01c_bq?wid=284&hei=284,"This high quality facing brick is suitable for all applications.Not frost protectedGuarantee - StatutoryNot UV resistantFeatures and benefitsThis rough red facing brick is an ideal starting point to create any home, but its uses don’t stop there. You can use it to create a garden path or even use it to build a fire pit for those warm summer evenings.Available in specific stores as these bricks are locally sourced"
32,Wienerberger Staffordshire Smooth Blue Perforated Class B engineering brick (L)215mm (W)102.5mm (H)65mm,£1.71,Bricks & blocks,https://www.diy.com/departments/wienerberger-staffordshire-smooth-blue-perforated-class-b-engineering-brick-l-215mm-w-102-5mm-h-65mm/35859_BQ.prd,https://media.diy.com/is/image/Kingfisher/lbc-heather-rough-red-frogged-facing-brick-l-215mm-w-102-5mm-h-65mm~5055013403961_02c_BQ?wid=284&hei=284,"This smooth brick provides a clean uniformed design to any new build, renovation or extension.Not frost protectedGuarantee - StatutoryNot UV resistantFeatures and benefitsUse this smooth blue brick as a strong foundation for projects around your home, from creating a custom raised planter to adding structure to your garden with a brick pathway.Suitable for general buildingUp to 60 per m²Guaranteed for the life of the building if used to the declared specification"
33,LBC Rough Red Frogged Common brick (L)215mm (W)102.5mm (H)65mm,£1.10,Bricks & blocks,https://www.diy.com/departments/lbc-rough-red-frogged-common-brick-l-215mm-w-102-5mm-h-65mm/179561_BQ.prd,https://media.diy.com/is/image/Kingfisher/wienerberger-staffordshire-smooth-blue-perforated-class-b-engineering-brick-l-215mm-w-102-5mm-h-65mm~5055013400298_02c_BQ?wid=284&hei=284,"This high quality facing brick is suitable for all applications.Not frost protectedGuarantee - StatutoryNot UV resistantFeatures and benefitsEvery home starts with a strong foundation. This sturdy, rough red brick can be used for a variety of projects both big and small, from building a brick wall to adding brick edging to your garden beds.Available in specific stores as these bricks are locally sourced"
34,Wienerberger Harvest Buff Rough Yellow Perforated Facing brick (L)215mm (W)102.5mm (H)65mm,£0.97,Bricks & blocks,https://www.diy.com/departments/wienerberger-harvest-buff-rough-yellow-perforated-facing-brick-l-215mm-w-102-5mm-h-65mm/54156_BQ.prd,https://media.diy.com/is/image/Kingfisher/lbc-rough-red-frogged-common-brick-l-215mm-w-102-5mm-h-65mm~5055013403886_02c_BQ?wid=284&hei=284,"This high quality facing brick is suitable for all applications in building and constructionNot frost protectedGuarantee - StatutoryNot UV resistantFeatures and benefitsThis study rough brick is an ideal starting point to create any home, but its uses don’t stop there. You can use it to create a garden path or even use it to build a fire pit for those warm summer evenings.Ideal for general buildingHarvest buff colour gives a warm, homely feelSold individually, so you can use as many or as few as you need"
35,Forterra Tame Valley Rough Red Perforated Facing brick (L)215mm (W)102.5mm (H)65mm,£1.04,Bricks & blocks,https://www.diy.com/departments/forterra-tame-valley-rough-red-perforated-facing-brick-l-215mm-w-102-5mm-h-65mm/5055013404890_BQ.prd,https://media.diy.com/is/image/Kingfisher/wienerberger-harvest-buff-rough-yellow-perforated-facing-brick-l-215mm-w-102-5mm-h-65mm~5055013400335_01c_bq?wid=284&hei=284,Features and benefitsEngineering qualityLess than 7% water absorption
36,Wienerberger Mixed Peak Facing brick (L)215mm (W)102.5mm (H)65mm,£0.73,Bricks & blocks,https://www.diy.com/departments/wienerberger-mixed-peak-facing-brick-l-215mm-w-102-5mm-h-65mm/144929_BQ.prd,https://media.diy.com/is/image/Kingfisher/forterra-tame-valley-rough-red-perforated-facing-brick-l-215mm-w-102-5mm-h-65mm~5055013404890_01c?wid=284&hei=284,"Only available in Northern IrelandFeatures and benefitsEvery home starts with a strong foundation. This sturdy mixed facing brick can be used for a variety of projects both big and small, from building a brick wall to adding brick edging to your garden beds.General building"
37,"Tarmac Cementitious Ready for use Postcrete, 20kg Bag",£5.50,"Chemicals, concrete & cement",https://www.diy.com/departments/tarmac-cementitious-ready-for-use-postcrete-20kg-bag/211662_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-cementitious-ready-for-use-postcrete-20kg-bag~5030349010717_03c?wid=284&hei=284,"Easy to use pre-mixed concrete, just sprinkle with water. Use to supporting fences, clothes lines, pergolas, gazeboes and other postsEasy to use pre-mixed concrete, just sprinkle with waterFeatures and benefitsEasy to usePre blended concrete mix with fast setting cements and additivesUse dry then apply waterWaterproof and tear resistant packaging"
38,"NX 3-50mm Floor levelling compound, 20kg Bag",£21,"Chemicals, concrete & cement",https://www.diy.com/departments/nx-3-50mm-floor-levelling-compound-20kg-bag/780763_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-cementitious-ready-for-use-postcrete-20kg-bag~5030349010717_03c?wid=284&hei=284,"3-50mm Leveller is a self smoothing, cement based, fibre reinforced floor leveller suitable for use up to 50mm in one application without the need for bulking out with chippings.Features and benefitsSuitable for use with underfloor heatingFoot traffic in 4hoursFlexibleFor use on a wide range of substratesCan be used as a finished surfaceLifetime Guarantee"
39,Tarmac Cold lay Ready mixed Macadam Bag,£10.50,"Chemicals, concrete & cement",https://www.diy.com/departments/tarmac-cold-lay-ready-mixed-macadam-bag/135771_BQ.prd,https://media.diy.com/is/image/Kingfisher/nx-3-50mm-floor-levelling-compound-20kg-bag~5010921354835_08c_bq?wid=284&hei=284,Ready mixedFeatures and benefitsCovers approximately 0.3m when compacted to 40mm depth
40,"Bostik Cementone Mortar, 10kg Tub",£7.49,"Chemicals, concrete & cement",https://www.diy.com/departments/bostik-cementone-mortar-10kg-tub/147429_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-cold-lay-ready-mixed-macadam-bag~5030349010328_02c?wid=284&hei=284,"Features and benefitsThis general purpose mortar from Bostik is ideal for laying bricks or blocks, rendering, pointing and masonry repairs.This product has a shelf life of 6 months from the date of manufactureMix in the bucket, simply add water1kg fills a void of 440 cm³"
41,"Bostik Cementone Rendering Repair mortar, 10kg Tub",£12.23,"Chemicals, concrete & cement",https://www.diy.com/departments/bostik-cementone-rendering-repair-mortar-10kg-tub/147430_BQ.prd,https://media.diy.com/is/image/Kingfisher/bostik-cementone-mortar-10kg-tub~5010591540118_02c?wid=284&hei=284,"The Render Repair Mortar is suitable for repairs, patching and maintenance. Ideal for repairing weather and impact damage.Features and benefitsThe render repair mortar is designed for repairing, patching and maintaining external render & is perfect for repairing weather and impact damage.Durable meaning repairs and patching last longerCan be painted overEasy to apply"
42,"Bostik Cementone Repair & pointing kit, 5kg Tub",£9.21,"Chemicals, concrete & cement",https://www.diy.com/departments/bostik-cementone-repair-pointing-kit-5kg-tub/147425_BQ.prd,https://media.diy.com/is/image/Kingfisher/bostik-cementone-rendering-repair-mortar-10kg-tub~5010591367357_02c?wid=284&hei=284,"Mix in bucket - just add waterThe Repair & Pointing Mortar Kit is suitable for repairs and pointing to concrete, brickwork and masonryFeatures and benefitsComplete kit - trowel includedIdeal for installation of pipes and repairing weather damaged pointing"
43,Bostik White Concrete fibres Bag,£6.65,"Chemicals, concrete & cement",https://www.diy.com/departments/bostik-white-concrete-fibres-bag/5010591004085_BQ.prd,https://media.diy.com/is/image/Kingfisher/bostik-cementone-repair-pointing-kit-5kg-tub~5010591367371_02c?wid=284&hei=284,"Wear suitable protective clothing, gloves & goggles when using this product.Features and benefitsCan be used with mortar, floor slabs, hard standing, pathways & drivewaysProvides protection against freeze/thaw damageMinimises cracking and shrinkageEnough for 50kg of concrete"
44,"Blue Circle Quality assured Ready mixed Mortar, 20kg Bag",£10.97,"Chemicals, concrete & cement",https://www.diy.com/departments/blue-circle-quality-assured-ready-mixed-mortar-20kg-bag/35726_BQ.prd,https://media.diy.com/is/image/Kingfisher/bostik-white-concrete-fibres-bag~5010591004085_01bq?wid=284&hei=284,"Blue Circle Ready To Use Mortar is a premixed mortar, simply add water. The Mortar is quality assured for a consistent finish, and comes in a unique waste saving waterproof pack.Use as a post fixingFeatures and benefitsBlue Circle Quality Assured Mortar comprises of cement, specially graded sand, lime and admixtures. It is quality assured for a consistent finish. Just add waterPremixed mortar, simply add water. The Mortar is quality assured for a consistent finish, and comes in a unique waste saving waterproof packHighly workable buttery mix obtained every time, long board life: 3-5 minutes in a mixerMortar Mix may only be used for bedding bricks and blocksDries to light grey colourMortar Mix may not be used for general concreting, screeds, grout or render"
45,"Blue Circle Mastercrete Cement, 25kg Bag",£8.38,"Chemicals, concrete & cement",https://www.diy.com/departments/blue-circle-mastercrete-cement-25kg-bag/35720_BQ.prd,https://media.diy.com/is/image/Kingfisher/blue-circle-quality-assured-ready-mixed-mortar-20kg-bag~5018719300026_08c?wid=284&hei=284,"Mastercrete is n enhanced Portland-limestone cement, for general purpose work, with improved resistance to freeze/thaw attack, lower water demand than ordinary Portland cement and offers a more cohesive mix.See Blue Circle Cement UK Health and Safety sheetsFeatures and benefitsContains cement quality improver to provide added benefits in comparison to ordinary Portland cement: lower water demand, more cohesive mix, less tendency for water to segregate and bleed and enhanced resistance of hardened concrete or mortar to freeze/thaw attackMastercrete is a cement based material and should be handled and stored with care. This product may be stored, unopened in either indoor or outdoor conditions"
46,"Tarmac One coat Ready mixed Render, 25kg Bag",£10.65,"Chemicals, concrete & cement",https://www.diy.com/departments/tarmac-one-coat-ready-mixed-render-25kg-bag/1501080_BQ.prd,https://media.diy.com/is/image/Kingfisher/blue-circle-mastercrete-cement-25kg-bag~5018719100190_08c?wid=284&hei=284,"One Coat Renders is a high quality, pre-blended render mix, for single coat application on solid substrates such as brickwork, blockwork and concrete, in moderate exposure conditions.WeatherproofMix approximately 4 to 5 litres of water per 25kg bag using an electrically driven mixer until you achieve a workable consistency.One Coat Renders is a high quality, pre-blended render mix, for single coat application on solid substrates such as brickwork, blockwork and concrete, in moderate exposure conditions.Features and benefitsHigh quality, pre-blended render, for single coat application on solid substrates such as brickwork, blockwork and concrete, in moderate exposure conditions.Pre-blended render mixSingle coat application reduces total drying timeBreathableCan be over painted when curedFor internal and external use"
47,"Sika Floor levelling compound, 25kg Bag",£28,"Chemicals, concrete & cement",https://www.diy.com/departments/sika-floor-levelling-compound-25kg-bag/35635_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-one-coat-ready-mixed-render-25kg-bag~5030349012025_03c?wid=284&hei=284,Features and benefitsCoverage approximately 5m² at 3mm thickCan be used in conjunction with underfloor heating
48,"Blue Circle Ready mixed Postcrete, 20kg Bag",£6.97,"Chemicals, concrete & cement",https://www.diy.com/departments/blue-circle-ready-mixed-postcrete-20kg-bag/35713_BQ.prd,https://media.diy.com/is/image/Kingfisher/sika-floor-levelling-compound-25kg-bag~5055047206323_02c?wid=284&hei=284,"Blue Circle Postcrete sets posts within 5-10 minutes, saving you time. Simply add to water, no mixing required.Ready mixedLay and just add waterFeatures and benefitsTear resistant plastic packagingWeatherproofAllows quick fence panel hanging in around 30 minutes"
49,"Tarmac Permanent repair Ready mixed Pothole Macadam, 25kg Bag",£12.45,"Chemicals, concrete & cement",https://www.diy.com/departments/tarmac-permanent-repair-ready-mixed-pothole-macadam-25kg-bag/135773_BQ.prd,https://media.diy.com/is/image/Kingfisher/blue-circle-ready-mixed-postcrete-20kg-bag~5018719100152_08c?wid=284&hei=284,"Permanent repairs to driveways, paths and potholesFeatures and benefitsApproved by HAPASNo specialist tools or equipment neededDurability improves with the use of Edging & Jointing Spray"
50,"Blue Circle Multipurpose Cement, 25kg Bag",£7.40,"Chemicals, concrete & cement",https://www.diy.com/departments/blue-circle-multipurpose-cement-25kg-bag/35715_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-permanent-repair-ready-mixed-pothole-macadam-25kg-bag~5030349010335_03c?wid=284&hei=284,"General purpose Cement suitable for a wide range of standard uses including concrete, mortar, rendering and screeds. Ideal for many different applications from small DIY jobs to the largest projects.See Blue Circle Cement UK Health and Safety sheetsFeatures and benefitsCompatible with admixtures such as air-entraining agents, workability aids and pigmentsConsistent strength meeting all the conformity criteria in BS EN 197-1Trial mixes are recommended to determine the optimum mix proportions"
51,"U-Can Patch fill Concrete repair, 5kg Tub",£10.25,"Chemicals, concrete & cement",https://www.diy.com/departments/u-can-patch-fill-concrete-repair-5kg-tub/258255_BQ.prd,https://media.diy.com/is/image/Kingfisher/blue-circle-multipurpose-cement-25kg-bag~5018719100046_08c?wid=284&hei=284,"Concrete Floor Patch Fill is ideal for patch repairs to cracked or damaged floors and broken slabs and pathsEasy to use, pre-blended floor patch, add water and mix in the tubConcrete Floor Patch Fill is ideal for patch repairs to cracked or damaged floors and broken slabs and pathsFeatures and benefitsConcrete Floor Patch Fill is a blend of ordinary and specialist cements, high quality graded aggregates and a unique combination of polymers and admixtures. When mixed with water it produces putty like mortar with good wash out resistance and a powerful bond onto wet concrete substratesLeaves no mess and no clear upFast setting - sets within 1 hourConsistent and durable resultsEach 2.5 kg bag will produce 1.35 litres of mortar based on the optimum water: powder ratio"
52,"U-Can Flexible Floor levelling compound, 10kg Tub",£16.74,"Chemicals, concrete & cement",https://www.diy.com/departments/u-can-flexible-floor-levelling-compound-10kg-tub/228570_BQ.prd,https://media.diy.com/is/image/Kingfisher/u-can-patch-fill-concrete-repair-5kg-tub~5030349010441_02c?wid=284&hei=284,Features and benefitsLeaving no mess and no clean upSmooths from 20mm down to a feathered edge
